#,Stream date,Video link,Stream title,Session,Trade # that day,Direction,Her stop (pts),Her result (R),Outcome,R exact or estimated?,Script gave a plan?,Script result (R),Same trade as hers?,What she said / notes
24,21-Aug-2026,https://www.youtube.com/watch?v=4X_MMT60Oy0,W on Short Scalping!,London,1,Short,14,+0.60,Win,Estimated,No,,no,"After Asia HIGH sweep + retrace into FVG, SMT check with ES. Partial at internal liquidity (~20 pt move), rest to BE and stopped at BE. Second target was midnight open"
25,25-Aug-2026,https://www.youtube.com/watch?v=0zLDLS4ASmc,W on NQ Long,London,1,Long,14,+1.50,Win,Estimated,No,,no,"Entered ~3:00 ET, partial taken, stop to BE; said ""TP here... only 21 points"" (planned 1:2.7). ""W on NQ Long"""
26,27-Aug-2026,https://www.youtube.com/watch?v=5lJ2fVeNaxA,Missed the LONG!,London,,,,,No trade,,No (0 plans),,n/a - she sat out,"No trade (""Missed the LONG""): couldn't get an entry with a small enough stop"
27,31-Aug-2026,https://www.youtube.com/watch?v=n0q3qQTpBMQ,Consolidation,London,,,,,No trade,,Yes (1 plans),,n/a - she sat out,"No trade (""Consolidation""): no entry point"
28,01-Sep-2026,https://www.youtube.com/watch?v=mK7iNfDfoE4,Trading Accumulation with L,London,1,Long,18,-1.00,Loss,From stream,Yes,+0.90,direction yes (time unknown),Entered before manipulation leg with relative lows below; stopped just before 3 AM (~$700)
29,01-Sep-2026,https://www.youtube.com/watch?v=mK7iNfDfoE4,Trading Accumulation with L,London,2,Long,14,-1.00,Loss,From stream,Yes,+0.90,direction yes (time unknown),"Re-entry to win back loss, moved partial higher (greedy); stopped. Said she should not have traded accumulation"
30,08-Sep-2026,https://www.youtube.com/watch?v=eNiIViQjKao,The Trade that Got Away,London,1,Long,18,-1.00,Loss,From stream,No,,no,"Stopped by ~1 pt, then price went to her final TP (""The Trade that Got Away"")"
31,08-Sep-2026,https://www.youtube.com/watch?v=eNiIViQjKao,The Trade that Got Away,London,2,Long,20,-1.00,Loss,From stream,No,,no,"Stopped quickly. Balance -$1,500/acct after two"
32,08-Sep-2026,https://www.youtube.com/watch?v=eNiIViQjKao,The Trade that Got Away,London,3,Short,20,-1.00,Loss,From stream,No,,no,Stopped. Said her entries were bad (should wait for retrace to CE/IFVG). Took a winning trade off-stream (not counted)
33,09-Sep-2026,https://www.youtube.com/watch?v=3y74mTwamb0,Chop Chop Chop,London,1,Long,20 (trailed to 10),-0.50,Loss,Estimated,Yes,"plan, no fill",yes,Bearish SMT with ES; stopped at trailed 10-pt stop (-$350)
34,09-Sep-2026,https://www.youtube.com/watch?v=3y74mTwamb0,Chop Chop Chop,London,2,Long,15,0.00,Breakeven,From stream,Yes,"plan, no fill",yes (only same-dir plan),"Mental partial only, moved to BE, stopped at BE after 30 min"
35,09-Sep-2026,https://www.youtube.com/watch?v=3y74mTwamb0,Chop Chop Chop,London,3,Long,20 (trailed to 11),-0.55,Loss,Estimated,Yes,"plan, no fill",yes (only same-dir plan),"Entered before 4 AM, chopped, stopped. Day -$820/acct"
36,09-Sep-2026,https://www.youtube.com/watch?v=3y74mTwamb0,Chop Chop Chop,London,4,Long,,-1.00,Loss,Estimated,Yes,"plan, no fill",yes (only same-dir plan),"Re-entered during giveaway, stopped; said she'd enter again (not tracked). ""Chop Chop Chop"""
37,10-Sep-2026,https://www.youtube.com/watch?v=GGxnTAQesFY,Time to SHORT!,London,1,Long,10,-1.00,Loss,From stream,No,,no,"1 contract, stopped then price went up (-$250)"
38,10-Sep-2026,https://www.youtube.com/watch?v=GGxnTAQesFY,Time to SHORT!,London,2,Long,14-18,-1.00,Loss,From stream,No,,no,"Entry after 1H FVG tap at 50% of Asia range; TP1 1:1.5, TP2 1:2.6; stopped. Two losses = -$800"
39,10-Sep-2026,https://www.youtube.com/watch?v=GGxnTAQesFY,Time to SHORT!,London,3,Long,18 (trailed to 11),-0.60,Loss,Estimated,No,,no,"Chopped for ~40 min, stopped at trailed stop. Day -$1,300/acct"
40,11-Sep-2026,https://www.youtube.com/watch?v=SSbr7Qzt0ts,Pre-CPI Tape Reading,London,,,,,No trade,,No (0 plans),,n/a - she sat out,No trade on stream (pre-CPI tape reading)
41,14-Sep-2026,https://www.youtube.com/watch?v=wEwZ2jlr17U,Nothing Happen,London,,,,,No trade,,No (0 plans),,n/a - she sat out,"No trade (""Nothing Happen""): chop after 300-pt gap down, range too small"
42,15-Sep-2026,https://www.youtube.com/watch?v=XqHChd2Iu6g,L STREAK!,London,1,Long,,-1.00,Loss,Estimated,No,,no,Aggressive entry mid-range (not after external liquidity sweep); stopped (-$700)
43,15-Sep-2026,https://www.youtube.com/watch?v=XqHChd2Iu6g,L STREAK!,London,2,Long,12,-1.00,Loss,From stream,No,,no,Stopped quickly
44,15-Sep-2026,https://www.youtube.com/watch?v=XqHChd2Iu6g,L STREAK!,London,3,Long,15-16,-1.00,Loss,From stream,No,,no,"1 contract; stopped at 3 AM. Three losses = -$1,500"
45,15-Sep-2026,https://www.youtube.com/watch?v=XqHChd2Iu6g,L STREAK!,London,4,Long,20,-1.00,Loss,From stream,No,,no,Stopped
46,15-Sep-2026,https://www.youtube.com/watch?v=XqHChd2Iu6g,L STREAK!,London,5,Long,15 (3 contracts),-1.00,Loss,From stream,No,,no,"Scaled in at 1H FVG CE; stopped. Hit her session loss limit (""L STREAK!"")"
47,16-Sep-2026,https://www.youtube.com/watch?v=bTuStP0tVh0,BANGER SHORT!,London,1,Long,20 (trailed to 14),-0.70,Loss,Estimated,No,,no,Not A+ so 1 contract; stopped before 3 AM (-$560)
48,16-Sep-2026,https://www.youtube.com/watch?v=bTuStP0tVh0,BANGER SHORT!,London,2,Long,~18,-1.00,Loss,From stream,No,,no,1 contract inside 5-min FVG; stopped
49,16-Sep-2026,https://www.youtube.com/watch?v=bTuStP0tVh0,BANGER SHORT!,London,3,Short,~15,+1.50,Win,Estimated,Yes,"plan, no fill",yes,"Near 4 AM; partial at equal lows, stop to BE then trailed, stopped on trailed stop in profit. Covered earlier losses (""BANGER SHORT"")"
50,18-Sep-2026,https://www.youtube.com/watch?v=V5CrYhTSGVE,BULL take over the game!,London,,,,,No trade,,Yes (1 plans),,n/a - she sat out,"No trade (""BULL take over""): strong trend, no pullback entry for her model"
51,21-Sep-2026,https://www.youtube.com/watch?v=SIEiFlpAskA,Chill,London,,,,,No trade,,Yes (1 plans),,n/a - she sat out,"No trade (""Chill""): her model didn't appear; would only be 1:1"
52,22-Sep-2026,https://www.youtube.com/watch?v=AnqvUt45kkg,V-Shape LONG,London,1,Long,15,-1.00,Loss,From stream,No,,no,Stopped (-$560); price then went lower to sweep equal lows
53,22-Sep-2026,https://www.youtube.com/watch?v=AnqvUt45kkg,V-Shape LONG,London,2,Long,20,-1.00,Loss,From stream,No,,no,"Stopped. Two losses ~-$1,400-1,500"
54,22-Sep-2026,https://www.youtube.com/watch?v=AnqvUt45kkg,V-Shape LONG,London,3,Long,~15-20 (1+1 contracts),+3.00,Win,Estimated,No,,no,"Aggressive entry after sweep of lows; half off at partial (+$800), stop to BE, rest to swing high; trade made ~$2,200 (""V-Shape LONG"")"
55,23-Sep-2026,https://www.youtube.com/watch?v=FZNmFqrn0LI,(untitled),London,,,,,No trade,,No (0 plans),,n/a - she sat out,No trade: no external liquidity sweep entry; didn't want counter-trend
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,

"THE SCRIPT (filled by cross-check engine, 5-min NQ=F replica of Candace_ICT_Suite.pine)"
Streams checked with the script,30,all 30 stream dates present in the 5-min cache
Script plans that matched her trade,18,same day + same direction
"Script average R (matched, completed)",0.2,7 completed
"Script total R, stream-hours config",51.17,28 completed of 52 plans
"Script total R, MFFU 08:30-11:00 config",10.43,3 completed of 8 plans
